"Protein.IDs"	"LFQ.intensity.KES1_well1"	"LFQ.intensity.KES2_well5"	"LFQ.intensity.KES3_well9"	"LFQ.intensity.PBS1_well2"	"LFQ.intensity.PBS2_well3"	"LFQ.intensity.PBS3_well4"
"1"	"158256496-stool1_revised_C879635_1_gene87355"	3132300	4590400	3840200	3856900	3160500	2868100
"2"	"V1.UC49-1_GL0163945;MH0243_GL0043732;V1.UC17-2_GL0119551;MH0048_GL0019966;O2.UC48-1_GL0126817;T2D-91A_GL0010508;158256496-stool1_revised_C905395_1_gene128106;N038A_GL0026252;NLM015_GL0036146;V1.UC33-0_GL0029739;158337416-stool2_revised_C1006610_1_gene174205;N038A_GL0044337;158499257-stool2_revised_scaffold31256_1_gene135701;MH0025_GL0029755;MH0006_GL0164826;MH0195_GL0083413;160765029-stool1_revised_C1087622_1_gene184040;158458797-stool1_revised_C1319208_1_gene85357;MH0443_GL0062781;MH0369_GL0150442;MH0355_GL0196604;MH0244_GL0108687;159551223-stool1_revised_scaffold40333_1_gene167214;158499257-stool2_revised_scaffold29632_2_gene161558;T2D-22A_GL0081139;MH0376_GL0181629;MH0308_GL0205083;MH0127_GL0042368;MH0054_GL0001599;MH0002_GL0031552;O2.UC41-1_GL0060393;MH0116_GL0034928;159207311-stool1_revised_C1130588_1_gene106840;MH0454_GL0081134;MH0267_GL0020950"	0	0	2762100	3525100	0	3659500
"3"	"T2D-57A_GL0124986;158256496-stool1_revised_C974656_1_gene29757"	20029000	8500300	0	0	20595000	28222000
"4"	"MH0143_GL0092916;MH0440_GL0060889;158256496-stool1_revised_scaffold122_2_gene139084;T2D-51A_GL0142514;MH0274_GL0078360;V1.UC49-1_GL0094164;T2D-22A_GL0070210"	20787000	29998000	10370000	9860400	10403000	11479000
"5"	"158256496-stool1_revised_scaffold20218_1_gene100027;MH0433_GL0148236;MH0280_GL0045416"	0	0	243710000	248370000	312900000	122970000
"6"	"MH0267_GL0113574;V1.CD38-0_GL0159648;T2D-135A_GL0024530;159571453-stool2_revised_scaffold648_1_gene145322;763536994-stool1_revised_C2056671_1_gene24582;158256496-stool1_revised_scaffold20354_1_gene148082;V1.FI26_GL0170763;T2D-135A_GL0075999;MH0152_GL0078424;O2.UC24-1_GL0176251;V1.UC26-4_GL0195301;MH0087_GL0029211;T2D-51A_GL0053765;NOF013_GL0028551;MH0274_GL0051892;MH0244_GL0118394;MH0187_GL0136183;MH0149_GL0113650;MH0143_GL0009694;158337416-stool2_revised_scaffold19814_1_gene163200;V1.UC43-0_GL0160163;MH0253_GL0043998;MH0011_GL0082990;T2D-8A_GL0071435;T2D-22A_GL0080434;MH0067_GL0063042;MH0004_GL0022906;T2D-135A_GL0075589;MH0113_GL0088764;MH0101_GL0094028;MH0039_GL0016675;160765029-stool1_revised_scaffold1233_2_gene112168;MH0016_GL0070799;T2D-73A_GL0027689;MH0386_GL0098803;MH0152_GL0040903;MH0005_GL0011023;O2.UC24-2_GL0112757;MH0338_GL0076094;MH0298_GL0126662;MH0057_GL0038000;MH0283_GL0062150;MH0172_GL0084599;MH0299_GL0005475;MH0137_GL0074999;MH0377_GL0052278;MH0036_GL0055117;MH0006_GL0201366"	46626000	56083000	36018000	42908000	41473000	34103000
"7"	"O2.UC48-2_GL0067596;T2D-22A_GL0057081;MH0309_GL0018093;MH0041_GL0009845;160704339-stool1_revised_scaffold28986_1_gene164657;404239096-stool1_revised_scaffold15476_2_gene55956;158256496-stool1_revised_scaffold21063_1_gene122611;MH0141_GL0089648;MH0002_GL0025499;MH0293_GL0054101;O2.UC55-0_GL0124819;158256496-stool1_revised_scaffold21040_1_gene133525;160765029-stool1_revised_scaffold19369_1_gene138816;MH0438_GL0153804"	95251000	133120000	47820000	58116000	63125000	78603000
"8"	"MH0414_GL0025644;MH0267_GL0010369;MH0187_GL0010141;MH0152_GL0053089;MH0143_GL0065841;MH0061_GL0007056;DOM005_GL0037606;765094712-stool1_revised_scaffold5779_1_gene17775;MH0275_GL0133818;DLM003_GL0033735;158256496-stool1_revised_scaffold7236_1_gene42729;V1.UC58-4_GL0242358;O2.UC50-0_GL0049206;MH0270_GL0121102;V1.UC26-4_GL0099759;MH0011_GL0067041;MH0004_GL0031361;V1.CD38-0_GL0154339;T2D-135A_GL0078199;MH0158_GL0077590;MH0094_GL0083876;MH0405_GL0085777;MH0113_GL0057469;N043A_GL0063224;MH0101_GL0048176;T2D-135A_GL0015129;160178356-stool1_revised_scaffold16556_1_2_gene90553;763577454-stool1_revised_scaffold45095_1_gene55816;MH0051_GL0050191;N066A_GL0046727;N022A_GL0002606;NOF013_GL0042231;MH0224_GL0035048;MH0401_GL0119302;V1.CD27-0_GL0091282;MH0328_GL0083032;159571453-stool1_revised_C695464_1_gene75486;V1.FI17_GL0162095;T2D-70A_GL0072147;158458797-stool1_revised_scaffold10444_1_gene7342;MH0118_GL0125244;O2.UC28-1_GL0099384;T2D-45A_GL0024862;T2D-22A_GL0021059;NOM023_GL0046839;DOM021_GL0045638;MH0055_GL0019749;V1.CD15-3_GL0070636;MH0037_GL0045402;MH0198_GL0115049;DOM022_GL0078294;764588959-stool1_revised_scaffold6338_2_gene134578;MH0438_GL0172818;MH0415_GL0009788;MH0012_GL0186463;MH0006_GL0008571;160765029-stool1_revised_scaffold4268_1_gene159639;NOF010_GL0087324;V1.UC41-0_GL0094582;T2D-73A_GL0042690;MH0309_GL0004465;MH0243_GL0017534;MH0140_GL0110160;MH0126_GL0041608;MH0124_GL0125476;MH0050_GL0037863;MH0243_GL0046342;MH0321_GL0092261;MH0281_GL0129757;MH0274_GL0017905;MH0265_GL0144713;MH0189_GL0102748;MH0101_GL0004406;MH0070_GL0002160;MH0069_GL0091199;MH0057_GL0016600;MH0052_GL0031067;MH0004_GL0030317;O2.UC1-1_GL0081289;MH0243_GL0089734;MH0222_GL0117826;MH0050_GL0065043;MH0200_GL0056165;MH0096_GL0035493;MH0014_GL0074199;MH0055_GL0041524;MH0046_GL0011170;MH0092_GL0035452;MH0057_GL0029020;SZEY-10A_GL0013425;MH0163_GL0071665;469589.HMPREF0103_3919;MH0067_GL0014919;MH0165_GL0131174;679189.HMPREF9019_2055;667015.Bacsa_0104;V1.CD52-0_GL0188555;MH0435_GL0140965;SZEY-101A_GL0016310;MH0079_GL0054817;MH0441_GL0021325;NLM024_GL0027917"	8581300	25849000	11488000	6655600	6705200	7791000
"9"	"MH0430_GL0004950;MH0145_GL0084109;158802708-stool2_revised_C994830_1_gene51143;DLF010_GL0024832;V1.CD50-0_GL0029468;158337416-stool1_revised_C1178290_1_gene193173;MH0377_GL0024315;MH0372_GL0090116;V1.UC1-0_GL0003007;MH0397_GL0071227;159166850-stool1_revised_scaffold8438_1_gene49913;MH0454_GL0110693;MH0343_GL0045323;MH0276_GL0023569;MH0185_GL0027743;V1.UC31-4_GL0106514;MH0102_GL0062888;MH0009_GL0027689;MH0053_GL0039193;V1.UC26-0_GL0085775;MH0220_GL0216973;159814214-stool2_revised_C696700_1_gene17989;MH0183_GL0088960;MH0145_GL0123300;MH0262_GL0082092;V1.UC26-4_GL0168654;MH0394_GL0008507;V1.UC35-4_GL0223738;HT14A_GL0129384;MH0271_GL0157335;MH0040_GL0079041;HT14A_GL0104848;V1.UC11-5_GL0103700;V1.FI17_GL0078798;SZEY-62A_GL0053033;MH0281_GL0065986;O2.UC31-2_GL0064458;MH0229_GL0017180;MH0406_GL0128752;MH0189_GL0111905;MH0362_GL0117612;MH0448_GL0125886;DOM012_GL0011801;T2D-49A_GL0030872;MH0290_GL0134663;NLM026_GL0088322;V1.UC13-0_GL0073748;T2D-47A_GL0040245;MH0212_GL0018424;N037A_GL0025322;MH0376_GL0111013;V1.UC26-4_GL0187894;MH0370_GL0053436;MH0369_GL0093762;MH0169_GL0121110;MH0354_GL0067068;O2.UC44-2_GL0079959;765701615-stool1_revised_scaffold49424_1_gene3742;MH0421_GL0067220;MH0262_GL0018622;N020A_GL0031392;V1.UC49-1_GL0140522;MH0433_GL0028280;MH0035_GL0031602;MH0447_GL0235815;O2.UC11-1_GL0155274;MH0150_GL0085903;O2.CD3-0-PT_GL0101736;V1.UC50-1_GL0083413;V1.UC52-0_GL0180347;N013A_GL0069164;O2.UC47-1_GL0117911;MH0402_GL0159665;158337416-stool1_revised_C1258662_1_gene142658;V1.CD32-4_GL0008524;159268001-stool1_revised_C1091223_1_gene38156;V1.UC13-3_GL0112920;MH0448_GL0009402;MH0385_GL0166398;NOM001_GL0013160;V1.CD5-0-PN_GL0003653;MH0293_GL0077344;MH0175_GL0035637;MH0141_GL0104283;MH0098_GL0129450;DLM022_GL0064781;V1.UC17-2_GL0124319;V1.CD36-0_GL0126134;V1.CD35-0_GL0047425;V1.CD35-0_GL0031254;V1.CD3-0-PT_GL0061737;V1.CD1-0-PN_GL0082340;T2D-62A_GL0048898;O2.UC37-1_GL0022260;MH0417_GL0114357;MH0283_GL0077961;MH0123_GL0041504;MH0096_GL0019018;HT8A_GL0042693;ED12A_GL0046871;DLM013_GL0045668;546273.VEIDISOL_00646;V1.CD22-0_GL0126553;V1.CD12-3_GL0021214;O2.UC44-1_GL0129998;MH0439_GL0175608;MH0406_GL0178859;MH0354_GL0070309;MH0286_GL0135396;MH0122_GL0090608;MH0100_GL0157785;MH0030_GL0014271;DLF014_GL0014294;V1.FI24_GL0163039;O2.UC53-2_GL0007937;MH0400_GL0098551;MH0336_GL0115382;MH0182_GL0065462;MH0148_GL0104275;MH0144_GL0092683;MH0120_GL0018147;MH0096_GL0006316;MH0064_GL0042115;MH0013_GL0013969;NLM029_GL0074323;MH0441_GL0042189;MH0441_GL0034058;MH0397_GL0183667;MH0385_GL0151520;MH0378_GL0060082;MH0370_GL0141384;MH0298_GL0133036;MH0250_GL0158051;MH0206_GL0227265;MH0013_GL0004312;MH0012_GL0043780;MH0002_GL0075869;V1.FI17_GL0004939;V1.CD9-0_GL0023948;MH0447_GL0086587;MH0433_GL0204319;MH0262_GL0103178;MH0250_GL0110075;MH0229_GL0067453;MH0153_GL0057235;MH0147_GL0031414;MH0098_GL0070677;MH0079_GL0021621;MH0045_GL0057266;MH0028_GL0019706;DLF012_GL0046190;V1.UC11-5_GL0053371;V1.UC11-5_GL0037045;SZEY-81A_GL0077589;O2.UC56-2_GL0051943;O2.UC30-1_GL0158641;O2.UC11-2_GL0074592;MH0402_GL0067990;MH0373_GL0098894;MH0339_GL0182343;MH0277_GL0028957;MH0277_GL0022300;MH0277_GL0001350;MH0229_GL0008833;MH0227_GL0096359;MH0203_GL0235983;MH0083_GL0001984;DOF004_GL0065112;BGI002A_GL0028619;500635.MITSMUL_03305;V1.UC30-0_GL0115736;MH0336_GL0087528;MH0189_GL0147284;706434.HMPREF9429_00654;MH0448_GL0234657;MH0409_GL0141259;MH0402_GL0204733;MH0355_GL0005639;MH0271_GL0103924;MH0200_GL0037698;MH0117_GL0092607;MH0006_GL0035595;MH0003_GL0051854;T2D-8A_GL0015742;MH0399_GL0117574;MH0321_GL0050702;MH0239_GL0077748;MH0100_GL0067744;V1.CD32-4_GL0105865;MH0432_GL0031817;MH0233_GL0062232;MH0068_GL0021658;MH0066_GL0033553;MH0055_GL0003295;MH0053_GL0071125;762983.HMPREF9444_00698;MH0082_GL0009790;O2.UC19-2_GL0060645;MH0433_GL0012440;V1.UC13-3_GL0097943;MH0389_GL0060863;V1.UC16-0_GL0012330;O2.UC59-2_GL0009529;MH0412_GL0107026;MH0421_GL0101268;MH0357_GL0160937;MH0055_GL0026801;MH0188_GL0127098;MH0103_GL0104532;MH0002_GL0031766;MH0406_GL0080852;MH0009_GL0064944;879309.HMPREF9199_1381;MH0053_GL0003690;MH0159_GL0086392;MH0370_GL0122319;MH0012_GL0230663;MH0275_GL0021705;MH0357_GL0101103;MH0197_GL0191167"	6233300	0	4057300	4101300	5045600	5434200
"10"	"NLM026_GL0030944;MH0316_GL0051777;158337416-stool1_revised_C1218220_1_gene17431;DLM008_GL0051576;MH0123_GL0040642"	0	1024300	7369300	4678300	5546200	4764300
